,010060 KS,1928 HK,2914 JT,3405 JP,3800 HK,6740 JP,700 HK,7201 JP,7974 JP,9142 JP,AA US,AAL US,AALB NA,AAPL US,ABBN VX,ABF LN,ABI BB,AC CN,ACA FP,ACHC US,ACS SM,ACX SM,AD NA,ADBE US,ADM US,ADP US,ADSK US,AENA SM,AF FP,AGL IM,AGN NA,AI FP,AIG US,AIR FP,AKAM US,AKE FP,AKZA NA,ALB US,ALK US,ALO FP,AMAT US,AMFW LN,AMS SW,AMUN FP,AMZN US,ANA SM,ANTM US,AON US,APC US,APD US,ARYN SW,ASC LN,ASSAB SS,ATC NA,ATO FP,ATVI US,AVGO US,AXE US,AXLL US,AXTA US,AYA CN,AYX US,BA US,BA/ LN,BAB LN,BAC US,BAER VX,BALN VX,BAMI IM,BARC LN,BATS LN,BBD/B CN,BBVA SM,BCO US,BDC US,BE US,BERY US,BG AV,BKD US,BKIR ID,BLL US,BLND LN,BLT LN,BMPS IM,BNP FP,BOKA NA,BOL SS,BP/ LN,BPE IM,BRBY LN,BT/A LN,BVI FP,BX US,BYD US,BZU IM,BZUN US,C US,CA FP,CABK SM,CBT US,CC US,CCE US,CCL LN,CE US,CENX US,CERV IM,CF US,CFR VX,CHK US,CHR DC,CHTR US,CLNX SM,CNA LN,CNHI IM,CO FP,COB LN,COF US,COH US,COL US,COTY US,CPB US,CPI LN,CPR IM,CRDA LN,CRH LN,CRTO US,CS FP,CSX US,CTEC LN,CTRP US,CTSH US,CTT PL,CVS US,CZR US,DANSKE DC,DAR US,DBX US,DD US,DENERG DC,DF US,DG FP,DG US,DGE LN,DIA SM,DIS US,DL NA,DLB US,DOW US,DSM NA,EA US,EAT US,ECL US,EDEN FP,EDF FP,EDP PL,EI FP,EKT SM,ELE SM,ELF US,ELUXB SS,EMN US,EMR US,ENEL IM,ENG SM,ENGI FP,ENR US,EO FP,EPC US,ERF FP,ERICB SS,ESRX US,ETN US,EURN BB,EZJ LN,FB US,FCA IM,FER SM,FLO US,FMC US,FMG AU,FORTUM FH,FR FP,FTSI US,FUM1V FH,G IM,GAS SM,GDI US,GE US,GEL US,GET FP,GIS US,GIVN VX,GKN LN,GLNG US,GM US,GNK LN,GOOG US,GOOGL US,GS US,GTK IM,GTO NA,GWW US,HAL US,HAS US,HEXAB SS,HL/ LN,HMB SS,HO FP,HOG US,HPE US,HRL US,HSBA LN,HUB/B US,HUM UN,HUM US,HUSQB SS,IAG LN,IAG SM,IBE SM,IBM US,IFF US,IGT US,IJ SS,ILU AU,IMB LN,IMT LN,INTC US,INTRUM SS,IQV US,ISP IM,ITRI US,ITRK LN,ITX SM,JACK US,JE/ LN,JMAT LN,JMT PL,JPM US,K US,KER FP,KGF LN,KMB US,KMT US,KN FP,KNEBV FH,KNX US,KRFT US,KSS US,L US,LAND LN,LAND SW,LB US,LBRT US,LBTYA US,LI FP,LNG AU,LNG US,LONN SW,LONN VX,LPG US,LUX IM,LVS US,LYB US,MAERSKB DC,MAS US,MAT US,MBLY US,MC FP,MCRO LN,MEOH US,MERL LN,MFS US,MGGT LN,MGM US,MHG NO,MKS LN,ML FP,MONC IM,MPEL US,MRL SM,MRO LN,MRVL US,MS IM,MS US,MT NA,MU US,NDA SS,NESN VX,NESTE FH,NFLX US,NG/ LN,NGVT US,NHL LN,NHY NO,NIO US,NOMD US,NOW US,NWL US,NXT LN,NZYMB DC,OA US,OCI NA,OEC US,OERL SW,OIH US,OLED US,OMC US,OR FP,PANW US,PBH US,PEP US,PFC LN,PHIA NA,PLAY US,PLUS LN,PMI IM,PNDORA DC,PNN LN,PPC US,PPG US,PRY IM,PSX US,PX US,PZZA US,QRVO US,QSR CN,QUNR US,RAND NA,RB/ LN,RBC US,RCO FP,RDSA NA,REL LN,REP SM,RI FP,RIO LN,RMG LN,RNO FP,ROK US,RPC LN,RPM US,RR/ LN,RRC US,RRR US,RXL FP,RYA LN,S32 LN,SABR US,SAF FP,SAFM US,SAN SM,SAND SS,SCAB SS,SCG US,SE US,SEAS US,SEBA SS,SEDG US,SEE US,SESG FP,SEV FP,SFER IM,SGRE SM,SGSN VX,SHW US,SJM US,SLA LN,SLB UN,SLB US,SLHN VX,SMIN LN,SO US,SOLB BB,SPR US,SPW US,SQM US,SRG IM,SSABA SS,SSE LN,ST US,STAN LN,STERV FH,STL NO,STLD US,STM FP,STX US,STZ US,SU FP,SUM US,SUN SW,SUNE US,SVT LN,SWEDA SS,SWMA SS,SXT US,SYNN VX,TATE LN,TEC FP,TEF SM,TEL NO,TGI US,TIT IM,TKWY NA,TOD IM,TPX US,TRE SM,TRELB SS,TRGP US,TRMB US,TRN IM,TSE US,TSLA US,TSM US,TTWO US,TVPT US,UBI FP,UBSG SW,UBSG VX,UCG IM,UG FP,UHR VX,UMI BB,UNVR US,US IM,USO US,UU/ LN,VAL US,VIE FP,VK FP,VLO US,VMW US,VOD LN,VOLVB SS,VPK NA,VRNS US,VSM US,VST US,VSTE US,WAB US,WBA US,WBC US,WDAY US,WEIR LN,WG/ LN,WIZZ LN,WKL NA,WMB US,WOS LN,WPG LN,WPP LN,WST US,WTB LN,WWW US,WYNN US,XOP US,XPO US,XXL NO,YAR NO,YNAP IM,ZC FP,AS51 Index,HSI Index,KOSPI Index,SPX Index,SX5E Index,TPX Index
2015-01-02 00:00:00,,,,,,,,16117156.922,,,,,,,,,,,,,,,,,,,,,,,,,,-14442374.016,,,12876530.9229,,,,,,,,,,,,,,,,,,,,,,20862867.693,,,,,,,,,,,,,-31034598.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5252934.6129,,10542946.2335,,,,,,,,,,,,,,,,,,,,,,,,,,43762879.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3145512.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10809587.6189,,,,,,,9702365.371,,,,,-3043799.7117,,,,,,,,,,,,,,,,,,,,,,,,-11703728.181,,,,,,,,,,,,,,,,,,,,,,,,,,,11933593.17931,,,,,,,,,-13112201.346,,,,,,,,,,14416627.402,,,,,,,,,,,,,,,,,-6858168.1936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3294743.265,,-21737020.881,,,,,,,-3046663.4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14635547.773,25581004.587,-2847744.0308,,,,,,,,,,,,,,,,,,,,,-9619390.7677,,,,,,,,,,,7015817.8108,,-10530887.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9951925.7887,-0.0,-0.0,-0.0,15753011.696600001,-17284667.550010003,-16117156.922
2015-01-05 00:00:00,,,,,,,,16075624.014,,,,,,,,,,,,,,,,,,,,,,,,,,-14404679.67,,,11035536.8131,,,,,,,,,,,,,,,,,,,,,,20479445.486,,,,,,,,,,,,,-29788798.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5074339.7386,,10255960.1883,,,,,,,,,,,,,,,,,,,,,,,,,,43415595.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3015415.8126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10597667.5094,,,,,,,9541942.3299,,,,,-2960315.7169,,,,,,,,,,,,,,,,,,,,,,,,-11122623.3305,,,,,,,,,,,,,,,,,,,,,,,,,,,11485055.66593,,,,,,,,,-13120341.642,,,,,,,,,,13625737.07,,,,,,,,,,,,,,,,,-6675323.2035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3219139.6041,,-18729263.043,,,,,,,-2944341.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13971136.332,25425196.597,-2728705.9509,,,,,,,,,,,,,,,,,,,,,-9441459.5124,,,,,,,,,,,6996460.0588,,-10186579.9084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11822369.262,-0.0,-0.0,-0.0,14012995.0805,-20116162.15922998,-16075624.014
2015-01-06 00:00:00,,,,,,,,15472994.11,,,,,,,,,,,,,,,,,,,,,,,,,,-14686575.36,,,11276661.1142,,,,,,,,,,,,,,,,,,,,,,20270669.727,,,,,,,,,,,,,-28497767.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9940921.4064,,10089412.8904,,,,,,,,,,,,,,,,,,,,,,,,,,43252151.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2981612.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10431561.1251,,,,,,,9536128.9529,,,,,-2904551.4987,,,,,,,,,,,,,,,,,,,,,,,,-10879416.6081,,,,,,,,,,,,,,,,,,,,,,,,,,,11294216.34566,,,,,,,,,-12920956.874,,,,,,,,,,13203183.9,,,,,,,,,,,,,,,,,-9882746.9929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3150070.6125,,-16590139.042,,,,,,,-2910593.2071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13811131.271,25227218.42,-2679955.3707,,,,,,,,,,,,,,,-2490287.2584,,,,,,-4414738.0493,,,,,,,,,,,7003849.1598,,-10039827.4111,,,,,,,,,,,,,,,,,,,,,,,,,1522415.0769,,,,,,,,,,,,,,,,,,,,,,,,,,11928830.703,-0.0,-0.0,-0.0,17607411.6285,-22999297.331059992,-15472994.11
2015-01-07 00:00:00,,,,,,,,15506419.701,,,,,,,,,,,,,,,,,,,,,,,,,,-15005813.284,,,13043782.8286,,,,,,,,,,,,,,,,,,,,,,20372490.771,,,,,,,,,,,,,-28005622.497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10062784.3933,,10051823.17,,,,,,,,,,,,,,,,,,,,,,,,,,43704710.026,,,,,,,,,,,,,,,,,,,,,,-10000295.3359,,,,,,,,,,,,,,,,,,-2990390.3946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10287615.0992,,,,,,,9609811.8891,,,,,-2905097.7814,,,,,,,,,,,,,,,,,,,,,,,,-10791666.4497,,,,,,,,,,,,,,,,,,,,,,,,,,,11242728.57881,,,,,,,,,-12954382.532,,,,,,,,,,13164296.709,,,,-9661693.6882,,,,,,,,,,,,,-9623251.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3148737.6596,,-6746037.8055,,,,,,,-2915512.0736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13649215.287,25425022.855,-2679605.4233,,,,,,,,,,,,,,,-4522061.0338,,,,,,-4415055.8979,,,,,,,,,,,6724519.5874,,-9916487.5541,,,,,,,,,,,,,,,,,,,,,,,,,5064341.054,,,,,,,,,,,,,,,,,,,,,,,,,,11920840.496,-0.0,-0.0,-0.0,16826724.1509,-16869766.354310002,-15506419.701
2015-01-08 00:00:00,,,,,,,,15379337.58,,,,,,,,,,,,,,,,,,,,,,,,,,-17461639.002,,,16874954.5167,,,,,,,,,,,,,,,,,,,,,,20741487.268,,,,,,,,,,,,,-29454081.583,,,,,,,,,,,,,,-5014929.7986,,,,,,,,,,,,,,,,,,-10263099.4738,,10004483.879,,,,,,,,,,,,,,,,,,,,,,,,,,44119713.706,,,,,,,,,,,,,,,,,,,,,,-15108885.504,,,,,,,,,,,,,,,,,,-3097355.4275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10604650.4762,,,,,,,9738683.5934,,,,,-2986903.6143,,,,,,,,,,,,,,,,,,,,,,,,-11358914.533,,,,,,,,,,,,,,,,,,,,,,,,,,,11594614.43256,,,,,,,,,-13214596.823,,,,,,,,,,13557833.758,,,,-14770163.536,,,,,,,,,,,,,-9893915.3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3143929.0916,,-6867144.014,,,,,,,-3001391.5469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14140411.914,26264924.504,-2733661.82,,,,,,,,,,,,,,,-6321006.3031,,,,,,-4503492.2237,,,,,,,,,,,6892933.5369,,-10045628.868,,,,,,,,,,,,,,,,,,,,,,,,,10234005.4396,,,,,,,,,,,,,,,,,,,,,,,,,,12099955.174,-0.0,-0.0,-0.0,17719639.653100006,-5857428.587360002,-15379337.58
2015-01-09 00:00:00,,,,,,,,11611273.067,,,,,,,,,,,,,,,,,,,,,,,,,,-17285763.021,,,17277262.57535,,,,,,,,,,,,,,,,,,,,,,20450174.244,,,,,,,,,,,,,-30192384.603,,,,,,,,,,,,,,-7083522.8465,,,,,,,,,,,,,,,,,,-10139426.6858,,9714924.4349,,,,,,,,,,,,,,,,,,,,,,,,,,44726994.353,,,,,,,,,,,,,,,,,,,,,,-15134401.824,,,,,,,,,,,,,,,,,,-3058922.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10482542.0066,,,,,,,11987646.54,,,,,-3019739.1727,,,,,,,,,,,,,,,,,,,,,,,,-11186823.7935,,,,,,,,,,,,,,,,,,,,,,,,,,,11618115.51239,,,,,,,,,-13131939.526,,,,,,,,,,13389619.136,,,,-14574092.983,,,,,,,,,,,,,-9906018.9643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3122509.1074,,-13769584.251,,,,,,,-2949808.9875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13862958.515,25850972.985,-2716416.835,,,,,,,,,,,,,,,-8382390.8502,,,,,,0.0,,,,,,,,,,,6862005.3069,,-10026062.0017,,,,,,,,,,,,,,,,,,,,,,,,,13543087.744,,,,,,,,,,,,,,,,,,,,,,,,,,12201087.052,-0.0,-0.0,-0.0,18924122.2681,-6520704.073440004,-11611273.067
2015-01-12 00:00:00,,,,,,,,11634392.125,,,,,,,,,,,,,,,,,,,,,,,,,,-17438719.429,,,18060113.8687,,,,,,,,,,,,,,,,,,,,,,20659089.745,,,,,,,,,,,,,-29341885.159,,,,,,,,,,,,,,-7059114.7302,,,,,,,,,,,,,,,,,,-10080271.9783,,9986477.511,,,,,,,-4977375.2864,,,,,,,,,,,,,,,,,,,45072690.033,,,,,,,,,,,,,,,,,,,,,,-15062362.022,,,,,,,,,,,,,,,,,,-3834404.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10668802.4096,,,,,,,11843868.163,,,,,-3811957.9076,,,,,,,,,,,,,,,,,,,,,,,,-11419286.834,,,,,,,,,,,,,,,,,,,,,,,,,-4019649.5191,,11588860.43729,,,,,,,,,-13195634.654,,,,,,,,,,14557963.918,,,,-14620561.024,,,,,,,,,,,,,-9251210.8157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3894666.8795,,-13574613.621,,,,,,,-3711869.9534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13874151.233,25575180.059,-3481083.939,,,,,,,,,,,,,,,-9165327.5392,,,,,,,,,,,,,,,,,6847422.096,,-8067036.4135,,,,,,,,,,,,,,,,,,,,,,,,,15910375.598,,,,,,,,,,,,,,,,,,,,,,,,,,12090064.787,-0.0,-0.0,-0.0,24008555.9634,-5650676.813889997,-11634392.125
2015-01-13 00:00:00,,,,,,,,11567073.387,,,,,,,,,,,,,,,,,,,,,,,,,,-17565350.072,,,19960417.0601,,,,,,,,,,,,,,,,,,,,,,20382340.484,,,,,,,,,,,,,-32504871.707,,,,,,,,,,,,,,-7176102.0099,,,,,,,,,,,,,,,,,,-9926986.3481,,9961483.909,,,,,,,-5172080.9499,,,,,,,,,,,,,,,,,,,44464315.397,,,,,,,,,,,,,,,,-4898835.5271,,,,,,-15715657.108,,,,,,,,,,,,,,,,,,-3833232.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11764080.722,,,,,,,12155926.755,,,,,-3807279.7757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4051800.8695,,11822232.21225,,,,,,,,,-13230407.448,,,,,,,,,,14934391.413,,,,-14622873.43,,,,,,,,,,,,,-9026386.4141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3881998.6093,,-13546732.575,,,,,,,-3658643.1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14018411.48,25695166.83,-3564840.6407,,,,,,,,,,,,,,,-11533212.893,,,,,,,,,,,,,,,,,7039630.8994,,-6063477.7994,,,,,,,,,,,,,,,,,,,,,,,,,16600064.685,,,,,,,-2992740.9743,,,,,,,,,,,,,,,,,,,12157801.838,-0.0,-0.0,-0.0,33107200.926200006,-15724969.066850008,-11567073.387
2015-01-14 00:00:00,,,,,,,,11517977.112,,,,,,,,,,,,,,,,,,,,,,,,,,-17420746.738,,,19559136.3558,,,,,,,,,,,,,,,,,,,,,,19862625.116,,,,,,,,,,,,,-34071949.973,,,,,,,,,,,,,,-8505009.073,,,,,,,,,,,,,,,,,,-9683023.5981,,10057345.9043,,,,,,,-5986238.2582,,,,,,,,,,,,,,,,,,,45594907.489,,,,,,,,,,,,,,,,-8326185.4842,,,,,,-14819654.999,,,,,,,,,,,,,,,,,,-4564800.8221,,,,,5095284.1649,,,,,,,,,,,,,,,,,,,,,,,,-12549455.984,,,,,,,12002380.184,,,,,-4557620.8492,,,-143438.15205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4007917.0382,,11547776.6182,,,,,,,,,-13065603.373,,,,,,,,,,14747304.73,,,,-14389199.116,,,,,,,,,,,,,-9082434.2722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4672718.6694,,-9107255.5532,,,,,,,-4483100.5965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13814425.052,25424935.994,-4347260.9815,,,,,,,,142085.2865,,,,,,,-13445475.818,,,,,,,,,,,,,,,,,6938442.5178,,-5934506.5423,,,,,,,,,,-4907237.6059,,,,,,,,,,,,,,,17763480.268,,,,,,,-2973770.9977,,,,,,,,,,,,,,,,,,,12211022.464,-0.0,-0.0,-0.0,42335294.4422,-18422991.987949997,-11517977.112
2015-01-15 00:00:00,,,,,,,,11541428.612,,,,,,,,,,,,,,,,,,,,,,,,,,-17602995.787,,,19294037.8503,,,,,,,,,,,,,,,,,,,,,,19537326.685,,,,,,,,,,,,,-21778828.679,,,,,,,,,,,,,,-9997437.8344,,,,,,,,,,,,,,,,,,-9700442.2416,,9916811.2745,,,,,,,-7061475.9512,,,,,,,,,,,,,,,,,,,44390547.87,,,,,,,,,,,,,,,,-8303179.6748,,,,,,-14808305.168,,,,,,,,,,,,,,,,,,-4552720.8697,999400.14687,,,,5137490.0365,,,,,,,,,,,,,,,,,,,,,,,,-12566908.872,,,,0.0,,,12079299.375,,,,,-4535348.0759,,,-1260498.23878,,,,,,,,,,,,,,,,,,,,,-3775954.9786,,,,,,,,,,,,,,,,,,,,,,,,,-4007186.333,,14711262.7304,,,,,,,,,-13174616.817,,,,,,-1010586.26805,,,,14808169.362,,,,-14620148.61,,,,,,,,,,,,,-8879068.4469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4618191.4268,,9127.15,,,,,,,-4480108.1582,,,,,,,,,,,,,,,,,,,,-4924382.2506,,,,,,,,,,,,,,-14057129.002,25424935.994,-4344610.5351,,,,,,,,-6623432.5754,,,,,,,-14692998.65,,,,,,,,,,,,,,,,,6990543.2767,,-5802081.7336,,,,,,,,,,-10854162.8371,,,,,,,,,,,,,,,18417308.676,,,,,,,-5784122.245,,,,,,,,,,,,,,,,,,,12551377.493,-0.0,-0.0,-0.0,38879525.812350005,-9330241.47288999,-11541428.612
2015-01-16 00:00:00,,,,,,,,9393433.3672,,,,,,,,,,,,,,,,,,,,,,,,,,-17613962.19,,,19492933.075,,,,,,,,,,,,,,,,,,,,,,23906114.426,,,,,,,,,,,,,-19508828.617,,,,,,,,,,,,,,-10148705.0749,,,,,,,,,,,,,,,,,,-9834565.7918,,9905765.4011,,,,,,,-7046762.145,,,,,,,,,,,,,,,,,,,45188833.675,,,,,,,,,,,,,,,,-8586917.979,,,,,,-14914787.307,,,,,,,,,,,,,,,,,,-4589671.3122,1857400.3894,,,,5097884.8512,,,,,,,,,,,,,,,,,,,,,,,,-12514292.71,,,,,,,11996577.717,,,,,-4571159.2011,,,-1351382.79305,,,,,,,,,,,,,,,,,,,,,-3849933.4295,,,,,,,,,,,,,,,,,,,,,,,,,-4010839.8583,,14596448.8672,,,,,,,,,-12933370.08,,,,,,-976314.4006,,,,14908092.749,,,,-14874472.191,,,,,,,,,,,,,-8898913.4438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4649444.8467,,9324.007,,,,,,,-4475405.7545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14167697.644,25262955.512,-4339839.7333,,,,,,,,-6910843.7353,,,,,,,-14826493.195,,,,,,,,,,,,,,,,,7129192.5865,,-5798566.0294,,,,,,,,,,-11140834.1819,,,,,,,,,,,,,,,18354398.904,,,,,,,-6868543.8148,,,,,,,,,,,,,,,,,,,13660482.271,-0.0,-0.0,-0.0,29041027.40070001,-11004884.372950004,-9393433.3672
2015-01-19 00:00:00,,,,,,,,9447864.6454,,,,,,,,,,,,,,,,,,,,,,,,,,-17735237.576,,,19781718.525,,,,,,,,,,,,,,,,,,,,,,23906359.462,,,,,,,,,,,,,-15549394.707,,,,,,,,,,,,,,-10167575.1114,,,,,,,,,,,,,,,,,,-9834666.5953,,9990269.3532,,,,,,,-7016677.1056,,,,,,,,,,,,,,,,,,,45607663.349,,,,,,,,,,,,,,,,-8587005.993,,,,,,-14897612.931,,,,,,,,,,,,,,,,,,-4589718.3555,2972363.7147,,,,5165828.344,,,,,,,,,,,,,,,,,,,,,,,,-12366264.608,,,,,,,12067143.22,,,,,-4571206.0559,,,-953218.74867,,,,,,,,,,,,,,,,,,,,,-2556687.5583,,,,,,,,,,,,,,,,,,,,,,,,,-4010880.9685,,14751443.7502,,,,,,,,,-12971603.008,,,,,,,,,,15242606.415,,,,-15071150.907,,,,,,,,,,,,,-5662618.8722,,,,,,,,,,,,,,,,5309222.5939,,,,,,,,,,,,,,-4649492.5032,,-0.001,,,,,,,-4475451.6271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14371683.041,25263214.456,-4339884.2165,,,,,,,,-7061490.4778,,,,,,,-14527350.402,,,,,,,,,,,,,,,,,7147607.9334,,-5798625.4656,,,,,,,,,,-11423118.427,,,,,,,,,,,,,,,18241771.219,,,,,,,-6868614.2173,,,,,,,,,,,,,,,,,,,14390317.843,-0.0,-0.0,-0.0,24105366.78689999,-23885667.485430002,-9447864.6454
2015-01-20 00:00:00,,,,,,,,9586131.783,,,,,,,,,,,,,,,,,,,,,,,,,,-17816173.469,,,19489394.431,,,,,,,,,,,,,,,,,,,,,,26203384.877,,,,,,,,,,,,,-14665816.38,,,,,,,,,,,,,,-10989611.5059,,,,,,,,,,,,,,,,,,-7288960.879,,10484900.2955,,,,,,,-7081264.3757,,,,,,,,,,,,,,,,,,,44336563.022,,,,,,,,,,,,,,,,-8460472.7509,,,,,,-15259627.787,,,,,,,,,,,,,,,,,,-4604640.8031,3230497.4635,,,,6137611.7088,,,,,,,,,,,,,,,,,,,,,,,,-12275192.277,,,,,,,12006495.927,,,,,-4584744.5469,,,-1272526.47779,,,,,,,,,,,,,,,,,,,,,-2543548.7292,,,,,,,,,,,,,,,,,,,,,,,,,-3887390.5547,,14725109.1054,,,,,,,,,-13075854.687,,,,,,,,,,15849340.533,,,,-15168067.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6244970.4291,,,,,,,,,,,,,,-4649492.5032,,-0.001,,,,,,,-4507941.2936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14216790.356,19731747.13,-4332462.8929,,,,,,,,-9441281.5654,,,,,,,-14676097.443,,,,,,,,,,,,,,,,,7136389.1447,,-782876.71557,,,,,,,,,,-11497959.602,,,,,,,,,,,,,,,18196387.366,,,,,,,-6919695.3528,,,,,,,,,,,,,,,,,,,14202293.787,-0.0,-0.0,-0.0,18749362.665670007,-26725957.87501001,-9586131.783
2015-01-21 00:00:00,,,,,,,,9669358.9097,,,,,,,,,,,,,,,,,,,,,,,,,,-17783053.56,,,19440325.112,,,,,,,,,,,,,,,,,,,,,,27535915.794,,,,,,,,,,,,,-13788028.467,,,,,,,,,,,,,,-12175888.27,,,,,,,,,,,,,,,,,,-4893937.7453,,10381919.2813,,,,,,,-7144709.7273,,,,,,,,,,,,,,,,,,,45018588.244,,,,,,,,,,,,,,,,-8577361.5304,,,,,,-15425633.4,,,,,,,,,,,,,,,,,,-4677089.3,3173097.3095,,,,8158643.2273,,,,,,,,,,,,,,,,,,,,,,,,-12314717.499,,,,,,,12020618.41,,,,,-4671184.2809,,,-2992921.83534,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-3894671.0665,,15063374.3595,,,,,,,,,-13223419.292,,,,,,,,,,16238775.589,,,,-15186652.202,,,,,,,,,,,,,-4954260.1737,,,,,,,,,,,,,,,,7527058.1584,,,,,,,,,,,,,,-4690688.7871,,0.0,,,,,,,-4548094.8033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14351754.177,14640133.478,-4435801.0224,,,,,,,,-10332651.6111,,,,,,,-14890037.294,,,,,,,,,,,,,,,,,7202813.9156,,0.0,,,,,,,,,,-11817625.6,,,,,,,,,,,,,,,17740295.779,,,,,,,-7085121.0422,,,,,,,,,,,,,,,,,,,14331867.347,-0.0,-0.0,-0.0,19085928.773099996,-23704052.091160014,-9669358.9097
2015-01-22 00:00:00,,,,,,,,9745224.9536,,,,,,,,,,,,,,,,,,,,,,,,,,-17647240.186,,,18905463.252,,,,,,,,,,,,,,,,,,,,,,27743757.801,,,,,,,,,,,,,-14957384.293,,,,,,,,,,,,,,-12061140.394,,,,,,,,,,,,,,,,,,-4928503.0253,,10390848.8942,,,,,,,-7141114.3837,,,,,,,,,,,,,,,,,,,45922167.57,,,,,,,,,,,,,,,,-8696225.2796,,,,,,-15580726.235,,,,,,,,,,,,,,,,,,-4809258.6418,3190201.2364,,,,8033894.9417,,,,,,,,,,,,,,,,,,,,,,,,-11760995.96,,,,,,,12202978.266,,,,,-4752414.6729,,,-5463996.55695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3943628.47,,14931232.7695,,,,,,,,,-13330254.531,,,,,,-996709.903,,,,16325957.649,,,,-15508936.813,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7615066.5211,,,,,,,,,,,,,,-4723272.2517,,,,,,,,,-4639150.7479,,,,,,,,,,,,,,,,-987708.56713,,,,,,,,,,,,,,,,,,-14244598.762,15135411.236,-4478208.2973,,,,,,,,-10974025.938,,,,,,,-14734841.601,,,,,,,,,,,,,,,,,7346646.544,,,,,,,,,,,,-163955.2163,,,,,,,,,,,,,,,17333568.82,,,,,,,-7164260.2907,,,,,,,,,,,,,,,,,,,14291780.249,-0.0,-0.0,-0.0,22197555.40333,-37877980.13595,-9745224.9536
