,1287366D CN,SAP CN,1374430D CN,1413355D CN,1413620D CN,1457122D CN,1480640D CN,1641774D CN,9944556D CN,9991111D CN,AAV CN,ABX CN,AC CN,ACQ CN,AD CN,ADVZ CN,AFN CN,AGI CN,AGT CN,AKG CN,ALA CN,ANV CN,AOI CN,APHA CN,AQN CN,ARX CN,ATD/B CN,ATP CN,ATZ CN,AVO CN,AVR CN,BAM/A CN,BBD/B CN,BCB CN,BCE CN,BCM CN,BDI CN,BIR CN,BNK CN,BNP CN,BNS CN,BTE CN,BXE CN,CCL/B CN,CEU CN,CGA CN,CHR CN,CIX CN,CJ CN,CJR/B CN,CLT CN,CNE CN,CPG CN,CPX CN,CR CN,CRON CN,CSU CN,CUS CN,CVE CN,CWB CN,DGC CN,DH CN,DHX CN,DML CN,DOL CN,DOO CN,DRM CN,DSG CN,ECA CN,EDV CN,EFN CN,EFX CN,EIF CN,ELR CN,EMA CN,ENB CN,ENF CN,ERF CN,FFH CN,FGE CN,FIH/U CN,FM CN,FNV CN,FRU CN,FSZ CN,FTS CN,FVI CN,GBG CN,GEI CN,GOOS CN,GRO CN,GS CN,GTE CN,GTII CN,GUD CN,GUY CN,GXO CN,H CN,HBC CN,HBM CN,HSE CN,IAG CN,IAU CN,IE CN,IFP CN,IMG CN,IPL CN,IVN CN,K CN,KEL CN,KEY CN,LABS CN,LB CN,LEAF CN,LEG CN,LIM CN,LRE CN,LSG CN,LSPD CN,MAG CN,MBT CN,MEG CN,MFI CN,MFL CN,MNW CN,MTL CN,NA CN,NG CN,NGD CN,NKO CN,NML CN,NPI CN,NVA CN,OGC CN,OPT CN,OR CN,ORA CN,OSB CN,OTEX CN,P CN,PDL CN,PEY CN,PG CN,PGF CN,PKI CN,PONY CN,POU CN,PPL CN,PRU CN,PRY CN,PSK CN,PSN CN,PTM CN,PVG CN,PXT CN,PXX CN,QEC CN,QTRH CN,RMX CN,RNW CN,RR CN,RRX CN,SBB CN,SCL CN,SES CN,SGR/H CN,SGY CN,SHOP CN,SIA CN,SII CN,SIS CN,SJ CN,SMF CN,SNM CN,SPB CN,SPE CN,SSL CN,STEP CN,STLC CN,STP CN,SU CN,SVI CN,SVM CN,TA CN,TCN CN,TCW CN,TD CN,TDG CN,TET CN,TGL CN,THO CN,TKM CN,TOG CN,TOU CN,TOY CN,TRP CN,TSGI CN,TXG CN,U CN,VEN CN,VET CN,VII CN,VSN CN,WCP CN,WEED CN,WEF CN,WPM CN,WSP CN,WSX CN,XRC CN,YRI CN,ZZZ CN,SPTSX60 Index,PT1 Index
2010-01-01 00:00:00,,13.0897,13.0303,2.4,6.911,1.75,,5.8,24.9706,35.6849,6.9,36.751,1.32,2.7135,4.7442,,20.4281,11.5834,23.543,6.63,10.5889,15.88,1.2,,2.6068,12.4934,6.54,7.2521,,,0.64,12.7074,4.2535,7.426,17.642,3.89,5.4818,8.7777,6.22,13.5747,33.2596,21.1279,159.0,4.9496,0.9425,2.08,1.6272,14.7335,,10.6789,10.445,6.5,22.8133,12.0631,14.68,,30.701999999999998,3.5408,20.703,16.831,17.88,11.3495,0.743,1.116,3.5563000000000002,,,6.32,27.6392,17.7,,,6.4122,9.2,16.3831,16.6599,7.7963000000000005,14.7143,325.962,9.5,,15.211,24.6765,7.6679,3.2634,19.9291,2.1,1.81,,,0.64,9.2409,6.0,368.0,,8.01,1.9535,,,12.6706,21.6857,24.3584,0.285,62.16,4.6899999999999995,15.3886,6.0526,,18.6416,,7.8905,,28.0313,,9.61,3.05,6.1695,4.13,,6.3,23.4133,,10.1929,10.89,,10.6528,20.222,5.7586,3.8,97.1779,0.52,6.7217,12.2445,1.6461000000000001,40.8909,,444.4565,9.9211,9.6454,4.0,1408.755,8.733,4.18,6.3444,7.6051,5.8,13.7845,10.37,,0.55,,,217.0,,4.1,2.54,2.88,1.9236,810.4949,,3.98,,1.24,24.3509,,3.65,2.147,,,2.8595,0.5412,5.7377,4.3091,0.4066,7.2023,3.7612,2.7389,,,0.99,29.188,0.1474,6.2131,14.4601,,12.8066,23.2042,5.8473,7.7034,2.9735,,4.65,14.9093,,,24.3326,,11.2,6.6,8.06,18.7684,,5.5339,1.4329,,0.1516,14.1366,17.5714,4.35,6.1294,10.4372,,693.23,690.8
2010-01-04 00:00:00,,13.0259,13.2513,2.5,7.0172,1.7,,5.82,25.0172,35.3917,7.15,37.3005,1.26,2.7859,4.7442,,20.6335,11.8969,23.7474,6.74,10.5945,16.6,1.2,,2.6323,13.0322,6.383,7.3659,,,0.67,12.6531,4.3155,7.4002,17.715,3.95,5.83,8.8706,6.41,13.9886,33.0636,21.3982,190.2,4.9128,0.9545,2.08,1.6087,14.566,,10.8888,10.475,7.2,22.819,12.0744,14.92,,31.036,3.6307,21.687,16.7159,18.05,11.3294,0.7618,1.1499,3.5547,,,6.28,28.9357,18.1,,,6.5017,9.5,16.3373,16.4612,7.8021,14.921,323.569,9.8,,15.5749,25.0278,7.7187,3.3391,19.9082,2.34,1.8900000000000001,,,0.65,9.0251,6.31,368.0,,8.15,1.9535,,,12.9321,22.0533,24.4038,0.29,65.52,4.84,15.6869,6.0918,,18.9303,,7.7873,,27.8018,,9.8,3.06,6.0807,4.05,,6.36,23.5182,,10.0968,11.07,,10.7505,20.1179,5.9304,4.0,97.3754,0.56,6.6372,12.4604,1.7311999999999999,39.3182,,459.1412,10.334,9.5596,4.5,1477.8492,8.82,4.12,6.5194,7.5994,5.85,13.8314,10.3581,,0.55,,,229.0,,4.25,2.64,3.4,1.9382000000000001,831.5678,,4.15,,1.31,24.185,,3.71,2.147,,,2.8912,0.5412,5.8168,4.4453,0.4247,7.2515,3.9247,2.8367,,,1.01,30.043,0.1474,6.4003,14.497,,13.0252,23.293,5.9548,7.7572,3.0328,,4.6,16.794,,,24.2251,,11.7,6.71,8.07,18.9768,,5.5283,1.4329,,0.1516,14.6262,17.5909,4.6,6.361,10.6808,,700.46,697.4
2010-01-05 00:00:00,,12.8641,13.2329,2.55,6.9681,1.7,,5.71,25.0249,34.5791,7.39,37.6551,1.26,2.8944,4.9257,,20.5103,11.6848,23.944,6.68,10.6734,16.52,1.26,,2.6513999999999998,13.0698,6.3516,7.3595,,,0.73,12.8052,4.3067,7.5803,17.454,3.88,5.9461,8.8335,6.54,14.2199,32.5838,21.1635,213.0,5.081,0.9706,2.04,1.6124,14.3986,,10.8296,10.415,7.1,22.6862,12.2099,14.85,,31.12,3.6564,21.453,16.5855,18.34,11.3697,0.8464,1.3105,3.5451,,,6.28,29.1139,18.9,,,6.5066,9.7,16.0759,16.6153,7.808,14.921,323.172,9.8,,15.7777,25.2385,7.7492,3.3566,19.7901,2.48,1.9100000000000001,,,0.67,9.0835,6.24,349.6,,8.2,1.9535,,,12.6986,21.8154,24.4114,0.29,68.67,4.95,15.342,6.103,,19.3923,,7.7454,,27.71,,9.82,3.1,5.9919,4.12,,6.34,23.6929,,9.782399999999999,11.13,,10.7049,20.1078,5.9575,3.95,97.7705,0.64,6.6035,12.4898,1.7218,42.4637,,451.3093,10.4355,9.604800000000001,5.0,1431.7864,9.1988,4.11,6.5882,7.537,5.77,14.1596,10.4055,,0.55,,,223.0,,4.46,2.68,3.35,1.9455,828.3258,,4.25,,1.28,23.7619,,3.67,2.1875,,,3.0819,0.5412,5.8281,4.5134,0.4247,7.1728,4.1427,2.8367,,,0.94,30.3803,0.1474,6.4627,14.4662,,12.9796,23.0835,6.4097,7.5778,3.1429,,4.7,17.3661,,,24.178,,13.3,6.8,7.8,18.8263,,5.4895,1.4329,,0.1555,14.92,17.6169,4.6,6.2121,10.646,,701.21,698.5
2010-01-06 00:00:00,,12.8258,13.3618,2.5,7.0662,1.75,,5.65,25.3661,34.2106,7.53,38.2756,1.3,3.4009,4.796,,20.5748,12.0629,24.0384,6.83,10.7297,16.53,1.28,,2.5941,13.4144,6.3296,7.3975,,,0.7,12.5716,4.4219,7.426,17.362,4.0,6.0522,8.9728,6.54,14.2808,32.1108,21.448,222.0,4.9723,0.9626,2.17,1.6309,14.2915,,10.878,10.815,7.0,22.871,12.1365,15.5,,31.12,3.6693,21.093,16.1099,18.25,11.4166,0.9405,1.302,3.6104000000000003,,,6.22,29.2922,18.6,,,6.5066,11.0,16.2524,16.2385,7.7435,14.9939,321.033,9.65,,16.7026,26.0552,7.8965,3.4091,19.8526,2.45,1.97,,,0.63,9.2229,5.76,349.6,,8.19,1.9952,,,13.0441,21.9668,24.7442,0.305,70.56,4.9,15.5191,6.1534,,19.9505,,7.7776,,27.4477,,9.89,3.01,5.6812000000000005,4.06,,6.67,24.0284,,9.7038,11.08,,10.77,20.1414,6.1835,4.02,103.3009,0.67,6.6429,12.6174,1.7974999999999999,41.6773,,453.2673,10.361,9.5551,5.0,1589.1677,8.9628,4.15,6.7194,7.5767,5.87,14.6753,10.3996,,0.55,,,236.0,,4.7,2.74,3.39,1.9382000000000001,859.1246,,4.18,,1.27,24.0606,,3.64,2.1943,,,3.0183,0.5667,5.9749,4.5815,0.4157,7.2073,4.3608,2.8367,,,1.0,30.7882,0.1474,6.7569,14.4724,,13.1254,22.8562,6.4676,7.6047,3.2615,,4.7,18.5104,,,23.9494,,13.3,6.84,7.66,19.5036,,5.5172,1.7553,,0.1555,15.4007,17.37,4.9,6.4106,11.0287,,702.97,700.9
2010-01-07 00:00:00,,12.8216,13.2513,2.51,6.9845,1.7,,5.46,25.2421,34.4702,7.35,37.7969,1.32,3.3575,4.5626999999999995,,20.7509,12.0076,24.062,7.1,10.7578,16.43,1.26,,2.6642,13.2327,6.4364,7.505,,,0.71,12.6585,4.475,7.546,16.912,4.1,5.9527,8.8706,6.35,14.6034,31.6986,21.5761,226.2,5.0161,0.9826,2.17,1.6604,14.124,,10.6251,10.85,7.0,22.5302,12.097,15.5,,31.12,3.6307,20.992,15.9488,18.48,11.43,0.8182,1.3274,3.5801,,,6.18,29.1869,18.5,,,6.5712,11.4,16.1544,16.1871,7.6204,14.9392,319.817,9.84,,16.4031,26.5031,7.7949,3.3799,19.7206,2.65,2.0,,,0.62,9.2454,5.8,368.0,,8.0,1.9535,,,13.7071,21.6929,24.6232,0.305,70.14,4.9,15.3234,6.1422,,20.0659,,7.726,,27.3625,,9.85,2.92,5.77,4.0,,6.58,24.0493,,9.7125,11.13,,10.6593,19.7755,6.1474,4.55,103.6861,0.67,6.8118,12.4898,1.7218,42.4637,,451.3093,10.3813,9.5303,4.8,1616.0377,8.7951,4.15,6.7507,7.588,5.9,14.7597,10.37,,0.55,,,236.0,,4.65,2.74,3.4,2.1284,849.3987,,4.14,,1.27,24.6745,,3.62,2.2281,,,3.0501,0.573,5.9862,4.5134,0.4473,7.2023,4.9059,2.8367,,,1.06,30.4509,0.1474,6.8104,14.2014,,12.9978,22.6574,6.4593,7.4433,3.2276,,4.75,18.2411,,,23.747700000000002,,13.8,6.79,7.31,19.5789,,5.4895,1.7553,,0.1555,15.3651,17.5389,4.9,6.7332,11.0635,,698.41,696.2
2010-01-08 00:00:00,,12.7662,13.3066,2.55,6.911,1.69,,5.42,25.4902,34.3446,7.54,37.8856,1.29,3.3503,4.6664,,20.7803,12.3857,23.8811,7.06,10.7184,16.55,1.31,,2.7152,13.6274,6.3516,7.5935,,,0.72,12.6911,4.5902,7.3745,16.937,4.34,5.9693000000000005,9.4465,6.46,14.6765,32.0703,21.6614,223.2,5.0372,0.9866,2.2,1.6751,13.9298,,10.6036,10.62,6.8,22.5302,12.2833,14.99,,31.529,3.6693,21.156,15.7723,18.51,11.4166,0.8558,1.2851,3.5531,,,6.26,29.1545,18.6,,,6.5811,12.4,16.1086,16.2145,7.6087,14.9878,313.957,9.85,,17.4265,26.5909,7.8864,3.4091,19.943,2.7800000000000002,2.02,,,0.65,9.3308,5.76,342.24,,8.21,1.9535,,,13.8471,21.6857,24.8652,0.305,69.09,4.67,16.2927,6.187,,20.2777,,7.8163,,27.1527,,9.81,3.03,5.5836,3.99,,6.92,24.0563,,9.7038,11.46,,10.6528,19.6882,6.1835,4.86,102.8071,0.7,6.93,12.5389,1.7502,42.8568,,454.2463,10.2798,9.4693,5.0,1585.3291,8.82,4.15,6.7318999999999996,7.571,6.59,14.8254,10.417300000000001,,0.55,,,239.0,,4.6,2.76,3.46,2.2307,855.8827,,4.23,,1.31,24.6081,,3.66,2.2281,,,3.031,0.573,5.9636,4.6009,0.497,7.3105,4.6878,2.8856,,,1.18,30.3489,0.1474,6.7747,14.3862,,13.098,22.629,6.4345,7.6585,3.3547000000000002,,4.05,19.1835,,,23.667,,13.5,6.76,7.96,19.6368,,5.484,1.4329,,0.1555,15.7212,17.5584,4.9,7.4446,11.2461,,702.81,700.8
2010-01-11 00:00:00,,12.7279,13.104,2.57,6.9763,1.56,,5.6899999999999995,25.6143,33.9006,7.46,38.1161,1.27,3.3865,4.6664,,20.704,12.6163,23.6059,7.03,10.6227,16.7,1.34,,2.7661,13.4708,6.3861,7.6188,,,0.73,12.4955,4.6434,7.4774,16.87,4.28,6.0223,9.2886,6.17,14.6034,31.7594,21.8748,222.6,5.0652,1.0227,2.29,1.6198000000000001,14.0972,,10.5229,10.375,6.5,22.7497,12.2607,14.98,,31.529,3.65,21.031,15.9488,18.6,11.3361,0.8464,1.2851,3.456,,,6.41,28.7817,18.3,,,6.7947,13.2,16.2001,16.1015,7.5618,15.0,316.414,9.91,,17.9572,26.828,8.0846,3.4382,19.7623,2.88,2.03,,,0.67,9.3308,5.72,334.88,,8.11,1.9201000000000001,,,13.8751,21.455,24.9863,0.305,66.99,4.75,16.4232,6.1982,,20.499,,7.8486,,26.8117,,9.85,3.44,5.406,4.01,,7.01,24.1052,,9.6514,11.74,,10.6853,19.8023,6.3915,4.9399999999999995,103.1627,0.75,6.8849,12.2445,1.7691,44.0364,,488.5105,10.5302,9.467,4.7,1765.7419,8.8324,4.13,7.032,7.5199,6.49,14.9097,10.3996,,0.55,,,264.0,,4.63,2.83,3.4699999999999998,2.1869,855.8827,,4.3,,1.43,24.6911,,3.7,2.2281,,,3.1772,0.573,5.9591,4.6204,0.4789,7.2269,5.342,2.8856,,,1.13,30.2626,0.1474,6.8193,14.4662,,13.1071,22.7888,6.3187,7.6406,3.2615,,4.1,18.645,,,23.6334,,13.5,6.62,7.97,19.741,,5.4784,1.4329,,0.1555,16.0417,17.6883,5.05,7.2709,11.4201,,701.16,698.4
2010-01-12 00:00:00,,12.7875,12.929,2.5,6.7394,1.53,,5.42,25.6376,33.2053,7.27,37.1587,1.33,3.2273,4.6146,,20.7744,12.441,23.7081,6.9399999999999995,10.5494,16.17,1.33,,2.7534,13.5335,6.5777,7.5872,,,0.72,12.3869,4.732,7.3659,17.204,4.04,5.8797,9.0192,6.06,14.2625,31.3945,21.4836,210.0,4.9583,1.0428,2.22,1.6013,14.0638,,10.5391,10.195,6.2,22.7786,12.176,14.56,,31.521,3.5665,20.913,16.209600000000002,17.99,11.3026,0.9311,1.2936,3.3828,,,6.55,28.8303,18.2,,,6.7053,11.8,16.0498,16.0912,7.4739,14.7751,317.272,9.92,,16.7537,26.345,8.0591,3.3974,19.804,2.63,1.94,,,0.68,9.3263,5.64,342.24,,7.15,1.9618,,,13.4736,21.4117,25.009,0.3,63.42,4.7,15.8453,6.2653,,20.0082,,8.1065,,26.7593,,9.85,3.29,5.7522,3.91,,6.75,24.3988,,9.5466,11.23,,10.529,19.6983,6.0389,4.73,104.5453,0.76,6.8737,12.0777,1.6745,44.8227,,464.036,10.7535,9.3722,4.6,1715.8405,8.7889,4.19,6.7882,7.4972,6.07,14.9004,10.3581,,0.55,,,265.0,,4.55,2.7800000000000002,3.35,2.0845,829.9468,,4.31,,1.42,24.9732,,3.56,2.1605,,,3.0628,0.5476,5.9072,4.5718,0.4699,7.2663,4.9059,2.7878,,,1.17,29.7057,0.1474,6.4449,14.4293,,13.0161,22.7604,6.0458,7.533,3.2445,,4.0,18.1738,,,23.8822,,13.7,6.58,7.62,19.6078,,5.4618,1.4329,,0.1516,15.6055,17.5454,5.0,7.0558,11.0548,,693.48,692.7
2010-01-13 00:00:00,,12.9578,12.8461,2.55,6.9436,1.54,,5.5,25.7229,32.9457,7.37,37.1853,1.31,3.1839,4.6146,,20.7216,12.7915,23.889,7.04,10.5551,16.72,1.3,,2.7789,13.4207,6.5495,7.5429,,,0.7,12.4792,4.7546,7.4774,17.143,4.06,5.9195,9.0471,6.26,14.5973,31.4756,21.5263,221.4,4.8707,1.0227,2.43,1.5903,14.2982,,10.5013,10.22,6.3,22.5706,12.1026,14.7,,31.128,3.6243,20.82,16.1099,18.0,11.3562,0.8652,1.302,3.3876,,,6.7,29.43,18.3,,,6.6904,12.6,16.2262,15.9987,7.4328,14.7386,316.422,10.0,,17.7317,26.6524,8.0795,3.4673,19.7623,2.7199999999999998,1.97,,,0.72,9.4657,5.57,342.24,,7.19,1.9618,,,13.4456,21.5703,25.0922,0.3,64.68,4.73,16.302,6.2989,,20.1333,,8.013,,26.7724,,9.73,3.94,5.983,3.94,,7.0,24.3568,,9.4767,11.41,,10.6984,19.8527,6.0931,4.63,105.4242,0.77,6.8568,11.9011,1.7123,50.7205,,459.1412,10.6588,9.4377,5.0,1723.5176,8.850999999999999,4.03,6.7943999999999996,7.5199,6.3,14.937899999999999,10.3522,,0.55,,,245.0,,4.6,2.8,3.64,2.1357,846.1567,,4.3,,1.43,25.471,,3.69,2.1605,,,3.0628,0.5157,6.0382,4.6009,0.4699,7.2712,5.1784,2.7878,,,1.1400000000000001,29.5567,0.1474,6.4182,14.5894,,12.9705,22.8598,6.3187,7.6495999999999995,3.2615,,4.0,18.2748,,,23.5124,,13.5,6.55,8.05,19.4863,,5.5339,1.4329,,0.1516,15.9437,17.5454,5.1,7.1551,10.733,,694.71,692.4
2010-01-14 00:00:00,,12.949300000000001,12.9567,2.49,6.8619,1.51,,5.35,25.7461,34.3195,7.27,36.7421,1.32,3.1766,4.6146,,20.5279,12.6439,25.2415,7.04,10.6734,16.3,1.26,,2.8363,13.239,6.6154,7.5366,,,0.69,12.3977,4.8526,7.4688,17.052,4.08,5.8134,9.205,6.55,14.4999,31.4081,21.9389,229.8,4.7463,1.0428,2.4,1.5681,14.9344,,10.2209,10.085,6.2,22.3338,12.1083,14.97,,31.529,3.5986000000000002,20.546,16.209600000000002,17.7,11.3428,0.884,1.3780999999999999,3.386,,,6.68,29.0086,18.5,,,6.7053,12.9,16.2132,15.8856,7.4446,14.6778,314.029,10.38,,18.3704,26.3801,8.0591,3.4965,19.9152,2.63,1.96,,,0.74,9.5557,5.43,338.56,,6.95,1.9785,,,13.3149,21.1882,25.1149,0.295,64.89,4.89,16.1809,6.3325,,19.9601,,8.0711,,26.6543,,9.72,4.45,6.0718,3.92,,7.04,24.231,,9.3282,11.6,,11.0763,19.8393,6.0208,4.48,104.644,0.74,6.9075,11.8521,1.7218,48.7546,,445.4354,10.8348,9.7832,4.5,1792.6119,8.9628,4.01,6.7507,7.5086,6.5,15.96,10.4706,,0.45,,,246.0,,4.51,2.79,3.7800000000000002,2.2307,833.1888,,4.45,,1.44,24.5501,,3.76,2.1605,,,3.0819,0.5157,5.9658999999999995,4.5523,0.4789,7.2958,5.2329,2.8367,,,1.18,29.4311,0.0983,6.3379,14.6079,,13.098,22.8456,6.1947,7.7034,3.2107,,3.75,21.0345,,,23.4922,,13.8,6.53,7.88,19.5673,,5.5394,1.4329,,0.1555,15.8547,17.6948,5.39,7.0145,10.5677,,690.66,689.1
2010-01-15 00:00:00,,12.723700000000001,12.9014,2.4699999999999998,6.9681,1.51,,5.21,25.5523,34.554,7.25,35.9266,1.28,3.0391,4.5626999999999995,,20.6922,12.4779,25.7919,6.93,10.7466,15.92,1.23,,2.8745000000000003,13.1638,6.4961,7.5808,,,0.7,12.3054,4.9594000000000005,7.4603,16.882,4.06,5.8599,9.0378,6.59,14.2991,31.131,22.1665,229.2,4.643,1.0588,2.44,1.5681,14.9344,,10.0914,10.01,6.2,22.4724,12.0518,14.72,,31.529,3.6307,20.312,16.2249,17.75,11.3562,0.9123,1.3274,3.3891999999999998,,,6.51,28.5305,18.4,,,6.6805,13.0,16.2066,15.8993,7.4621,14.8541,316.9,11.1,,18.2965,26.5382,8.0744,3.4207,19.7762,2.66,1.95,,,0.72,9.8704,5.27,345.92,,6.93,2.0787,,,13.2962,21.0873,24.9258,0.3,63.21,4.85,15.8546,6.2877,,19.0073,,8.0775,,27.0478,,9.7,4.88,5.9919,3.88,,6.85,24.4617,,9.2234,11.99,,10.9069,19.846,5.84,4.53,101.7208,0.76,6.9131,11.7245,1.788,48.7546,,408.2342,11.1934,9.6454,4.4,1765.7419,8.938,3.95,6.7507,7.5143,6.5,15.9412,10.5002,,0.45,,,234.0,,4.6,2.81,3.7,2.2527,812.1159,,4.6,,1.38,24.3841,,3.74,2.1605,,,3.1327,0.5157,5.9185,4.8149,0.497,7.2564,4.9604,2.8367,,,1.15,28.7958,0.1818,6.231,14.5525,,13.3895,22.4941,6.0789,7.5689,3.1852,,3.75,21.9432,,,23.4115,,13.5,6.39,7.72,19.3068,,5.5117,1.4329,,0.1555,15.7657,17.6688,5.2,6.8573,10.2894,,682.24,679.9
2010-01-18 00:00:00,,12.6853,12.9843,2.51,7.107,1.51,,5.17,25.7771,34.9393,7.3,35.7404,1.25,3.0391,4.6612,,21.6021,12.5978,26.1458,6.95,10.7747,15.85,1.27,,2.8872,13.3142,6.405,7.5429,,,0.73,12.3977,4.906,7.4345,16.937,4.03,5.8698,9.1772,6.54,14.4878,31.4148,22.0811,230.4,4.6079,1.0668,2.5,1.5866,14.9946,,10.0321,10.135,6.0,22.5764,12.0913,14.47,,31.529,3.6757,20.359,16.2249,18.15,11.6044,0.9687,1.3443,3.3844,,,6.52,28.9033,18.2,,,6.6854,14.3,16.3765,16.1529,7.4739,14.8237,313.513,11.12,,18.9124,26.3538,8.1557,3.4207,19.9013,2.79,1.95,,,0.73,9.7355,5.26,342.24,,6.9,2.0453,,,13.3896,21.2603,25.1451,0.285,63.21,4.85,16.0783,6.3325,,18.9784,,8.0936,,27.074,,9.88,5.57,6.0807,3.79,,6.8,24.4687,,9.1972,11.94,,10.9329,19.9366,6.1022,4.41,103.6268,0.9,7.0369,11.5774,1.9771999999999998,49.1478,,411.1712,11.3017,9.5235,4.4,1788.7733,9.056,3.87,6.9507,7.4916,6.39,15.613,10.594899999999999,,0.45,,,242.0,,4.6,2.76,3.88,2.2088,810.4949,,5.26,,1.3900000000000001,24.4256,,3.75,2.1605,,,3.031,0.5157,5.9298,4.9219,0.5422,7.3498,4.9059,2.8367,,,1.11,29.0233,0.1818,6.3112,14.768,,13.844899999999999,22.7604,6.0789,7.6854,3.1768,,4.0,23.1212,,,23.5594,,13.7,6.5,7.63,19.2778,,5.6503,1.4329,,0.1594,15.6322,17.6883,5.05,6.758,10.4807,,686.62,683.4
2010-01-19 00:00:00,,12.5576,12.7909,2.49,7.0662,1.5,,5.1,25.622,33.7833,7.15,36.2634,1.28,3.0391,4.5783000000000005,,21.9074,12.7177,26.3817,7.0,10.8536,15.72,1.28,,2.8809,13.5021,6.3516,7.7705,,,0.73,12.2836,4.9238,7.5031,16.864,3.9699999999999998,5.8764,9.0378,6.6,14.5426,31.2797,22.7783,234.6,4.6254,1.0949,2.44,1.5939999999999999,14.8808,,10.3719,10.295,6.7,22.8422,12.1817,14.34,,31.537,3.7207,20.242,16.4397,17.87,11.8392,1.0721,1.412,3.3733,,,6.44,28.879,18.0,,,6.7053,14.6,16.3961,15.9918,7.4446,14.8663,310.983,10.85,,18.8385,26.5997,8.1709,3.4265,19.9986,2.68,2.0,,,0.71,9.7355,5.37,334.88,,6.8,2.2457,,,13.4643,20.835,24.9938,0.285,62.79,4.9,15.8733,6.3773,,19.0843,,8.1033,,27.0609,,9.8,7.04,6.0363,3.74,,7.14,24.6294,,9.4592,12.03,,11.0958,19.7151,5.9937000000000005,4.55,106.8562,0.88,6.9243,11.8128,1.9867,45.6091,,412.1502,12.2221,9.6658,4.0,1888.5761,9.1616,3.89,6.9882,7.4632,6.33,15.3786,10.6422,,0.45,,,235.0,,4.6,2.74,3.9,2.1869,816.9789,,5.07,,1.48,24.3095,,3.7800000000000002,2.0998,,,2.9611,0.5157,5.9298,4.8636,0.5693,7.2908,4.9059,3.0323,,,1.12,28.9683,0.167,6.4271,14.5155,,13.6628,22.7568,6.0044,7.6047,3.1344,,4.25,22.9192,,,23.6805,,13.5,6.45,7.42,19.272100000000002,,5.7446,1.4329,,0.171,15.6055,17.6753,5.24,7.1303,10.472,,686.76,683.6
2010-01-20 00:00:00,,12.3022,12.6436,2.4699999999999998,6.7394,1.52,,4.84,25.5135,33.6074,7.09,35.1909,1.29,2.9957000000000003,4.6612,,21.7136,12.1736,26.8535,6.93,10.8142,14.53,1.25,,2.8618,13.5648,6.317,7.7642,,,0.71,12.3543,4.7546,7.606,16.979,3.85,5.8698,8.9635,6.48,14.5182,31.0499,22.6502,232.8,4.5974,1.143,2.19,1.5866,14.6732,,10.5121,10.28,7.1,22.7902,12.0575,13.97,,31.537,3.7079,19.937,16.1175,16.65,12.0136,1.0345,1.395,3.3176,,,6.42,28.6764,17.5,,,6.6805,13.4,16.4092,16.3036,7.4563,14.8906,304.853,11.06,,18.1373,26.6085,8.1811,3.4906,19.7901,2.64,1.98,,,0.71,9.848,5.34,342.24,,6.85,2.0871,,,13.0534,20.6908,24.8879,0.275,61.95,4.77,15.2581,6.352,,18.6705,,8.1422,,26.7002,,9.89,6.65,5.8765,3.59,,6.95,24.5805,,9.7038,11.62,,10.8222,19.705,5.7858,4.43,106.7476,0.88,6.9863,11.7442,1.911,47.1818,,407.2553,12.0529,9.7425,4.2,1850.1904,8.9752,3.8,6.9632,7.378,6.23,15.238,10.7429,,0.45,,,218.0,,4.55,2.65,3.7800000000000002,2.0918,795.906,,5.0,,1.38,23.8946,,3.65,2.1065,,,3.012,0.5157,5.8733,4.7955,0.5693,6.9565,4.9059,2.8367,,,1.05,28.7173,0.1867,6.0616,14.2815,,13.6628,22.6751,5.8721,7.4612,3.1344,,4.25,22.3807,,,23.8687,,12.2,6.39,7.29,19.0521,,5.6836,1.4329,,0.171,15.0357,17.8183,5.08,6.9483,10.2111,,682.62,679.1
