,1287366D CN,SAP CN,1374430D CN,1413355D CN,1413620D CN,1457122D CN,1480640D CN,1641774D CN,9944556D CN,9991111D CN,AAV CN,ABX CN,AC CN,ACQ CN,AD CN,ADVZ CN,AFN CN,AGI CN,AGT CN,AKG CN,ALA CN,ANV CN,AOI CN,APHA CN,AQN CN,ARX CN,ATD/B CN,ATP CN,ATZ CN,AVO CN,AVR CN,BAM/A CN,BBD/B CN,BCB CN,BCE CN,BCM CN,BDI CN,BIR CN,BNK CN,BNP CN,BNS CN,BTE CN,BXE CN,CCL/B CN,CEU CN,CGA CN,CHR CN,CIX CN,CJ CN,CJR/B CN,CLT CN,CNE CN,CPG CN,CPX CN,CR CN,CRON CN,CSU CN,CUS CN,CVE CN,CWB CN,DGC CN,DH CN,DHX CN,DML CN,DOL CN,DOO CN,DRM CN,DSG CN,ECA CN,EDV CN,EFN CN,EFX CN,EIF CN,ELR CN,EMA CN,ENB CN,ENF CN,ERF CN,FFH CN,FGE CN,FIH/U CN,FM CN,FNV CN,FRU CN,FSZ CN,FTS CN,FVI CN,GBG CN,GEI CN,GOOS CN,GRO CN,GS CN,GTE CN,GTII CN,GUD CN,GUY CN,GXO CN,H CN,HBC CN,HBM CN,HSE CN,IAG CN,IAU CN,IE CN,IFP CN,IMG CN,IPL CN,IVN CN,K CN,KEL CN,KEY CN,LABS CN,LB CN,LEAF CN,LEG CN,LIM CN,LRE CN,LSG CN,LSPD CN,MAG CN,MBT CN,MEG CN,MFI CN,MFL CN,MNW CN,MTL CN,NA CN,NG CN,NGD CN,NKO CN,NML CN,NPI CN,NVA CN,OGC CN,OPT CN,OR CN,ORA CN,OSB CN,OTEX CN,P CN,PDL CN,PEY CN,PG CN,PGF CN,PKI CN,PONY CN,POU CN,PPL CN,PRU CN,PRY CN,PSK CN,PSN CN,PTM CN,PVG CN,PXT CN,PXX CN,QEC CN,QTRH CN,RMX CN,RNW CN,RR CN,RRX CN,SBB CN,SCL CN,SES CN,SGR/H CN,SGY CN,SHOP CN,SIA CN,SII CN,SIS CN,SJ CN,SMF CN,SNM CN,SPB CN,SPE CN,SSL CN,STEP CN,STLC CN,STP CN,SU CN,SVI CN,SVM CN,TA CN,TCN CN,TCW CN,TD CN,TDG CN,TET CN,TGL CN,THO CN,TKM CN,TOG CN,TOU CN,TOY CN,TRP CN,TSGI CN,TXG CN,U CN,VEN CN,VET CN,VII CN,VSN CN,WCP CN,WEED CN,WEF CN,WPM CN,WSP CN,WSX CN,XRC CN,YRI CN,ZZZ CN,
2010-01-01 00:00:00,,30.5917,14.1168,2.3958,8.4636,1.6796,,5.8155,32.1722,42.646,6.8676,41.6994,1.3098,3.6593,8.8094,,34.8833,12.5524,29.9988,6.6471,18.788,15.9115,1.1817,,4.0615,19.9863,20.5208,11.4661,,,0.6346,23.4113,4.7977,8.6763,28.9058,3.8994,16.1111,9.4178,6.2443,22.3608,49.2749,29.6649,2.6768,28.502299999999998,11.7143,2.0757,4.3850999999999996,21.8308,,19.7676,20.8912,0.6494,39.3303,21.4597,14.6415,,36.9921,5.5487,26.4802,21.9601,17.7861,16.8361,0.7945,1.3214000000000001,22.3818,,,6.3004,34.2507,1.7767,,,12.9403,0.9327,25.1249,48.5854,13.3632,24.2199,409.8688,9.5164,,80.6071,28.1046,15.0569,5.6,28.7892,2.0855,1.804,,,0.6227,20.5257,6.011,0.0983,,7.9709,2.34,,,13.5951,30.0657,32.1722,0.2772,3.0366,4.6767,16.4956,10.8594,,19.3739,,24.3443,,42.6305,,9.6165,3.05,6.9403,4.1002,,6.3091,33.3203,,11.5905,10.8147,,16.3351,60.0547,6.3132,3.7705,98.4443,0.5316,11.9101,12.4397,1.7274,1.0039,,4.6062,14.5597,42.6366,0.2016,3.6576,13.9962,4.1636,10.178,13.3417,5.7619,14.6737,17.4846,,0.5462,,,2.1921,,4.1,2.5528,2.8988,2.6033,4.9681,,3.9233000000000002,,1.2464,29.3143,,3.6181,3.1114,,,4.5815,0.85,25.66,4.3918,0.4382,14.5912,0.35,0.5544,,,1.0066,37.3961,0.15,6.9437999999999995,23.5146,,14.0034,65.8783,6.9977,8.5655,3.5591,,0.9351,4.5221,,,36.1471,,1.1182,6.5817,8.1171,32.4457,,9.967,0.2,,0.1998,15.8286,27.1192,4.3362,7.4748,11.9643,,a
2010-01-04 00:00:00,,30.4951,14.4261,2.4637000000000002,8.613,1.7919,,5.8189,32.3586,42.2318,7.0323,42.1817,1.2877,3.8216,9.15,,34.9342,12.8964,30.2724,6.8613,18.8561,16.5953,1.2636,,4.1368,20.4655,20.5434,11.603,,,0.6616,23.3219,4.8177,8.5842,28.9773,3.9962999999999997,17.3131,9.6331,6.3944,22.8001,48.6424,30.0428,3.0858,28.2626,11.8061,2.0517,4.3675,21.8806,,19.9905,20.9804,0.7109,39.4975,21.4672,14.9339,,36.9827,5.6482,27.2695,21.8826,18.1411,16.8219,0.8247,1.3455,22.4041,,,6.2636,35.2568,1.8175,,,13.1137,0.9677,25.065,48.1596,13.294599999999999,24.5305,408.8212,9.6849,,82.3569,28.3255,15.1581,5.6856,28.6444,2.2166,1.859,,,0.6562,20.1938,6.24,0.0974,,8.1396,2.34,,,13.8932,30.4742,32.3586,0.2887,3.0999,4.6994,16.8002,10.8718,,19.7452,,24.1218,,42.5505,,9.7418,3.1134,6.8618,4.062,,6.3513,33.6131,,11.5192,11.0815,,16.3618,59.8929,6.5489,3.9299,98.8992,0.5669,11.8829,12.6712,1.8169,1.0006,,4.7358,14.9239,42.3474,0.2183,3.8571,14.1088,4.1952,10.3231,13.3801,5.8663,14.7814,17.4571,,0.5462,,,2.3266,,4.1608,2.6661,3.3421,2.6336,5.1293,,4.1531,,1.3153000000000001,29.3182,,3.7323,3.2096,,,4.5808,0.85,25.7069,4.5799,0.467,14.723700000000001,0.36,0.5802,,,0.9885,38.1901,0.15,7.1928,23.5431,,14.2689,65.2413,7.1931,8.6017,3.5703,,0.92,4.9724,,,36.1835,,1.1505,6.6818,8.1588,32.6402,,9.9595,0.2,,0.1993,16.3119,27.1511,4.4077,7.6483,12.2461,,
2010-01-05 00:00:00,,30.4524,14.4971,2.5322,8.5504,1.6871,,5.707,32.2888,42.0348,7.2523,42.276,1.2725,4.0,9.5934,,34.8679,12.8132,30.4571,6.6991,18.9371,16.5161,1.2548,,4.2052,20.6925,20.2457,11.638,,,0.7272,23.4534,4.8497,8.6837,28.6729,3.8727,17.9821,9.582,6.5009,23.2022,48.3558,29.8635,3.4585,28.6666,11.9251,2.0585,4.3266,21.5971,,20.2214,20.8296,0.7263,39.2225,21.5566,14.8281,,37.4288,5.6695,27.3934,21.7718,18.3335,16.9414,0.893,1.4751,22.1777,,,6.2087,35.8164,1.8491,,,13.1147,0.9702,24.7781,48.2569,13.2188,24.5159,406.811,9.8,,83.0799,28.5219,15.1908,5.7941,28.4803,2.4282,1.9178,,,0.6597,20.1012,6.2748,0.0998,,8.1874,2.3257,,,13.6247,30.4536,32.2888,0.2883,3.2297,4.9692,16.6096,10.8614,,19.927599999999998,,24.0491,,42.4496,,9.8018,3.1034,6.522,4.084,,6.3561,33.9175,,11.2363,11.135,,16.4352,59.7306,6.5998,3.9775,98.8797,0.6004,11.7614,12.7554,1.8383,1.0506,,4.6622,15.3592,42.3763,0.239,3.7615,14.4867,4.0983,10.4909,13.3305,5.7791,14.9868,17.5485,,0.5462,,,2.262,,4.2843,2.6612,3.2568,2.6507,5.0968,,4.178,,1.3115999999999999,28.8328,,3.6745,3.2135,,,4.7251,0.85,25.8,4.6025,0.4793,14.6586,0.3681,0.5822,,,0.9811,38.667699999999996,0.15,7.2147,23.4767,,14.2282,65.2141,7.7384,8.4784,3.6361,,0.9275,5.1245,,,35.8857,,1.2805,6.816,7.9589,32.3835,,9.9026,0.2,,0.2,16.7341,27.0982,4.5864,7.5713,12.3141,,
2010-01-06 00:00:00,,30.2694,14.5038,2.5313,8.6044,1.7657,,5.6603,32.7411,40.9894,7.5134,43.312,1.3047,4.5916,9.2455,,35.005,12.9304,30.6242,6.7761,19.0127,16.5489,1.2689,,4.1389,21.3168,20.1511,11.6796,,,0.7213,23.1901,4.9698,8.7747,28.4958,3.9626,18.0882,9.5972,6.5674,23.6196,47.7433,30.0526,3.7008,28.5625,12.1927,2.1031,4.4032,21.4185,,20.2786,21.4938,0.6916,39.4922,21.5278,15.2248,,37.2553,5.6836,27.0175,21.2147,18.4681,17.0081,0.954,1.5542,22.5254,,,6.2054,36.0393,1.8807,,,13.1036,1.0554,24.7385,47.7595,13.1933,24.633,406.1732,9.6811,,85.9578,29.5994,15.4003,5.8449,28.5643,2.5525,1.9609999999999999,,,0.6346,20.3779,5.8037,0.0998,,8.2052,2.3903,,,13.8495,30.1309,32.7411,0.3076,3.325,4.907,16.6656,10.9751,,20.7322,,24.0379,,42.0918,,9.8516,3.0563,6.411,4.0803,,6.5579,34.0978,,11.1659,11.2402,,16.3508,59.9991,6.7932,4.0078,102.1814,0.6609,11.7525,12.7954,1.8641,1.0691,,4.6151,15.3144,42.4203,0.2508,3.9436,14.5997,4.129,10.7206,13.321,5.8601,15.5767,17.5702,,0.5462,,,2.3394,,4.6506,2.7404,3.4685,2.6276,5.1996,,4.2051,,1.3199,28.8443,,3.707,3.2385,,,4.7802,0.8671,26.2039,4.7169,0.4675,14.6579,0.4042,0.5731,,,1.0076,39.0951,0.15,7.5024999999999995,23.4552,,14.3287,64.7168,7.8579,8.4402,3.7714,,0.9354,5.4425,,,35.8209,,1.3085,6.8286999999999995,7.7017,33.2271,,9.9147,0.2371,,0.2,17.2314,27.0237,4.6973,7.7771,12.598,,
2010-01-07 00:00:00,,30.1995,14.3498,2.4976,8.5932,1.7038,,5.4464,32.531,40.9454,7.4176,42.6047,1.3186,4.5577,8.7065,,35.4476,13.0707,30.5945,6.9926,19.0637,16.413,1.2864,,4.1087,21.1589,20.2994,11.812,,,0.694,23.1128,5.1197,8.766,27.8894,4.0446,18.0541,9.5495,6.396,23.8872,47.0601,30.1429,3.7443999999999997,28.4719,12.2941,2.178,4.4329,21.0923,,19.848,21.6951,0.691,39.1459,21.5159,15.4264,,37.2526,5.6690000000000005,26.8372,20.9617,18.4199,17.0492,0.8892,1.5251000000000001,22.5326,,,6.2501999999999995,36.0094,1.8561999999999999,,,13.2172,1.1859,24.6025,47.0612,13.065,24.6706,401.5264,9.6822,,86.5006,29.792,15.3887,5.8035,28.3007,2.4608,1.964,,,0.6304,20.6647,5.817,1.0222,,8.0288,2.34,,,14.5172,30.1769,32.531,0.3034,3.2908,4.9131,16.3599,10.9752,,20.7944,,23.9565,,41.8263,,9.8384,2.9744,6.4631,3.9997,,6.5484,34.2717,,11.1358,11.1209,,16.4529,59.1043,6.7612,4.3213,104.8123,0.6907,12.0289,12.7605,1.859,1.0618,,4.641,15.3173,42.0883,0.2467,4.2218,14.154,4.1339,10.7848,13.3131,5.8552,15.6166,17.5379,,0.5462,,,2.4016,,4.6592,2.7473,3.4638999999999998,2.8241,5.2621,,4.0803,,1.2865,29.0944,,3.6109,3.2506,,,4.8228,0.9,26.6527,4.6315,0.4849,14.6465,0.407,0.577,,,1.0335,38.749,0.15,7.5833,23.0245,,14.3668,63.8966,7.8499,8.364,3.7936,,0.9393,5.4215,,,35.3123,,1.3635,6.7972,7.3801,33.7056,,9.9061,0.245,,0.1996,17.2854,26.9818,4.8712,7.8568,12.663,,
2010-01-08 00:00:00,,30.035,14.405,2.5276,8.5083,1.6963,,5.4801,32.8666,41.1045,7.4564,42.5939,1.3191,4.4764,8.8611,,35.5288,13.1903,30.3988,7.0553,19.0573,16.5268,1.3384,,4.1991,21.5314,20.2923,11.9879,,,0.7137,23.3089,5.1852,8.6793,27.7265,4.2457,18.0545,10.0044,6.3972999999999995,24.0977,47.2374,30.3607,3.7149,28.7503,12.312,2.1821,4.5422,20.9482,,19.7396,21.3463,0.6822,38.9903,21.6753,15.2091,,37.0688,5.6993,26.941,20.6085,18.48,17.029,0.9093,1.5292,22.4111,,,6.2148,35.6995,1.8391,,,13.2261,1.2077,24.6867,47.3792,12.9655,24.6439,399.2501,9.8134,,91.8848,30.3085,15.4215,5.8357,28.6773,2.7106,2.025,,,0.6438,20.618,5.7783,0.926,,8.0907,2.34,,,14.8564,30.0963,32.8666,0.3044,3.2749,4.772,17.0817,10.991,,20.9572,,24.0232,,41.5621,,9.8434,3.0087,6.2968,3.985,,6.8578,34.5654,,11.0966,11.2236,,16.2615,58.6504,6.7943,4.6676,104.1017,0.6929,12.1772,12.7062,1.8643,1.0885,,4.6443,15.1993,42.1713,0.2381,4.206,14.2489,4.1306,10.7486,13.2259,6.2399000000000004,15.6986,17.5446,,0.5462,,,2.3818,,4.6304,2.7685,3.4774,3.0974,5.2236,,4.2068,,1.3133,29.5495,,3.6443,3.3,,,4.668,0.9,26.5121,4.6813,0.5265,14.7481,0.4292,0.5721,,,1.1227,38.6557,0.15,7.6028,23.2415,,14.3715,63.7146,7.7173,8.3651,3.9058,,0.8084,5.5781,,,35.2321,,1.3614,6.7543,7.3906,33.9742,,9.8795,0.2,,0.1998,17.4979,27.0897,4.91,8.5591,12.7427,,
2010-01-11 00:00:00,,29.9608,14.3544,2.5504,8.5773,1.5946,,5.6193,33.0988,40.8807,7.5436,43.2282,1.3044,4.68,8.8611,,35.3795,13.7105,30.143,7.1638,18.9408,16.7553,1.3839000000000001,,4.3512,21.6603,20.3177,12.0128,,,0.7461,23.1409,5.2696,8.723,27.839199999999998,4.369,18.0375,10.3589,6.3484,24.2224,47.1446,30.7826,3.7434,28.8911,12.7418,2.2857,4.4132,21.1061,,19.6369,20.9978,0.6487,39.3791,21.7133,15.0644,,37.0493,5.6941,26.9912,20.6896,18.8049,16.9391,0.9,1.5352000000000001,21.9801,,,6.2858,35.7829,1.8479,,,13.5214,1.3255,24.7752,47.1293,12.9697,24.7891,397.6329,9.9226,,94.7253,31.0867,15.8347,5.8827,28.5016,2.8975999999999997,2.0525,,,0.6683,20.7594,5.6388,0.9132,,8.1379,2.3,,,15.0966,30.0087,33.0988,0.3033,3.2181,4.6782,17.8502,11.1072,,21.4163,,24.4205,,41.06,,9.8098,3.2415,6.1527,4.0355,,7.1011,34.5001,,11.0719,11.6455,,16.3919,58.9487,7.0768,5.0388,105.0146,0.7572,12.3361,12.7476,1.8988,1.1113,,4.802,15.4732,42.0713,0.2354,4.4783,14.3194,4.1491,11.0464,13.2964,6.4,15.9045,17.6125,,0.5462,,,2.5241,,4.6087,2.8026,3.5220000000000002,3.0732,5.359,,4.2254,,1.3858,29.893,,3.7119999999999997,3.3,,,4.949,0.9,26.0953,4.7848,0.5438,14.8924,0.4812,0.5863,,,1.1562999999999999,38.7389,0.15,7.6423,23.4765,,14.4668,63.9988,7.7248,8.5105,3.9462,,0.8265,5.5969,,,35.2858,,1.3719999999999999,6.6059,8.231,34.2974,,9.8895,0.2,,0.1999,18.1554,27.1632,5.0166,8.9218,13.2858,,
2010-01-12 00:00:00,,29.9851,13.9808,2.5441000000000003,8.319,1.5232,,5.5032,33.1935,39.8624,7.3109,42.1885,1.3054000000000001,4.3237,8.9107,,35.2098,13.8087,30.0551,6.9544,18.7639,16.6112,1.3389,,4.3146,21.5128,20.8519,11.9572,,,0.7052,22.9199,5.3004,8.6527,28.0364,4.1745,17.6546,9.6489,6.1629,23.6801,46.4396,30.4349,3.5301,28.3466,12.786200000000001,2.2385,4.3449,21.0397,,19.732,20.4554,0.6244,39.2295,21.5951,14.71,,37.5549,5.6364,26.455,21.0133,18.2503,16.8878,0.9711,1.5377,21.3467,,,6.502,35.572,1.8155000000000001,,,13.7,1.2486,24.6225,47.0146,12.7477,24.5141,398.7269,9.9217,,90.7575,30.0242,15.8073,5.8902,28.6045,2.7155,1.9922,,,0.6784,20.6746,5.6851,0.9494,,7.4386,2.3544,,,14.3432,29.7654,33.1935,0.2994,3.0722,4.6981,17.3413,11.1384,,20.9988,,24.7114,,40.957300000000004,,9.7274,3.2964,6.3258,3.958,,6.7972,34.9444,,10.9365,11.5426,,16.2459,58.352,6.8219,4.7614,106.2781,0.7628,12.2025,12.4145,1.8241,1.1038000000000001,,4.798,15.585,41.6702,0.2249,4.452,14.246,4.1728,11.0184,13.2632,6.1737,15.8525,17.5131,,0.5462,,,2.6303,,4.5975,2.7887,3.3576,2.9204,5.2132,,4.2887,,1.4102999999999999,29.9172,,3.6297,3.2249,,,4.9313,0.89,26.2377,4.6927,0.5396,14.7278,0.4486,0.578,,,1.1159,37.8493,0.15,7.3666,23.4461,,14.3782,63.929,7.4013,8.4751,3.9026,,0.8202,5.3902,,,35.3227,,1.3795,6.572,7.7163,33.9199,,9.8431,0.2033,,0.1984,17.7869,27.1475,5.0065,8.5102,12.9221,,
2010-01-13 00:00:00,,30.2549,13.8085,2.5445,8.4133,1.5341,,5.4354,33.0879,39.111,7.3258,41.7056,1.31,4.3868,8.945,,35.3001,13.879,30.2107,6.9608,18.6772,16.4899,1.2811,,4.362,21.4447,20.8822,11.9178,,,0.7013,22.8674,5.4885,8.6274,28.3195,4.1498,17.8292,9.6858,6.1637,23.6353,46.5548,30.1581,3.616,28.2142,12.7657,2.3853,4.2943,21.2416,,19.3896,20.2934,0.6111,39.1307,21.5709,14.4897,,37.4649,5.5968,26.5835,20.844,17.8566,16.7964,0.957,1.5323,21.281,,,6.6565,35.9321,1.8393000000000002,,,13.5532,1.2187000000000001,24.6779,46.7125,12.6808,24.2685,399.0794,9.984,,91.4234,30.065,15.8549,5.825,28.4462,2.677,1.9504000000000001,,,0.7116,20.8792,5.574,0.9474,,7.1012,2.3617,,,14.4097,29.6952,33.0879,0.2957,3.0656,4.7931,17.3179,11.2136,,20.8099,,25.1922,,40.6781,,9.7505,3.57,6.7364,3.8938,,6.8601,34.8766,,10.9273,11.3326,,16.2801,58.6277,6.5506,4.6758,107.0623,0.7604,12.1632,12.0937,1.7776,1.2113,,4.7314,15.7974,41.7464,0.2359,4.3893,14.0868,3.999,10.8343,13.2308,6.2466,15.9089,17.4597,,0.5462,,,2.5175,,4.5722000000000005,2.7819000000000003,3.5916,2.8448,5.1705,,4.2762,,1.4281,30.6632,,3.6285,3.2,,,4.8152,0.835,26.7169,4.7155000000000005,0.5299,14.6659,0.4608,0.5731,,,1.1497,37.3999,0.15,7.2096,23.5482,,14.1078,64.2989,7.4386,8.4892,3.7925,,0.8028,5.3033,,,35.1481,,1.3655,6.563,8.0361,33.4807,,9.8733,0.2033,,0.1955,17.6362,27.062,4.9373000000000005,8.5481,12.422,,
2010-01-14 00:00:00,,30.3875,14.0018,2.465,8.401299999999999,1.5345,,5.4077,33.1547,41.6659,7.3234,41.4731,1.3208,4.3327,8.9,,35.0223,13.8838,31.4687,7.0151,18.8317,16.4957,1.2946,,4.4022,21.2041,20.9934,11.9884,,,0.7038,22.7829,5.4327,8.7081,28.1136,4.1698,17.8098,9.8675,6.4186,23.891,46.3845,30.7559,3.8354,27.294,12.8114,2.4098,4.2617,21.9246,,19.0437,20.062,0.6271,38.9306,21.4458,14.9468,,37.419,5.6131,26.4554,20.9701,17.736,16.851,0.9496,1.6236000000000002,21.262,,,6.6902,36.177,1.8443,,,13.5153,1.2993999999999999,24.8074,46.4523,12.731,24.2137,395.4716,10.4233,,94.7598,29.9691,15.9752,5.9081,28.540399999999998,2.6491,1.9571,,,0.7287,21.1887,5.4757,0.922,,6.8859,2.3516,,,14.2408,29.4216,33.1547,0.3006,3.1021,4.7512,17.4456,11.2976,,20.818,,25.0765,,40.647,,9.7962,4.2018,6.7875,3.9255,,7.0431,34.9068,,10.7377,11.5247,,16.568,59.0835,6.6529,4.5037,106.381,0.7609,12.184,12.1184,1.8016,1.267,,4.6224,15.9391,43.2039,0.2298,4.6701,14.3082,4.0031,10.8831,13.2476,6.3679,16.9518,17.6367,,0.45,,,2.5084,,4.5371,2.8001,3.7747,2.9346,5.1857,,4.3548,,1.4351,29.7995,,3.7023,3.2357,,,4.9013,0.835,26.342,4.6952,0.5366,14.7912,0.4786,0.5773,,,1.1599,37.6661,0.104,7.1481,23.6479,,14.3289,64.2015,7.5517,8.535,3.8729,,0.7654,6.2157,,,34.9819,,1.3506,6.5348,7.9446,33.7329,,9.973,0.2033,,0.1967,17.7522,27.0876,5.0484,8.5278,12.1873,,
2010-01-15 00:00:00,,29.9423,13.995,2.509,8.4251,1.4932,,5.2121,32.9978,40.8211,7.203,40.7486,1.2764,4.2145,8.9527,,35.0057,13.5545,32.09,6.9488,18.9893,15.8873,1.2439,,4.5355,20.8352,20.6787,11.9557,,,0.6864,22.736,5.52,8.663499999999999,27.9377,4.0125,17.6526,9.743500000000001,6.5491,23.6427,46.2405,30.889,3.827,26.3605,12.9872,2.4183,4.2494,22.2341,,18.6756,20.0346,0.6104,38.6616,21.4729,14.7673,,37.7284,5.6208,25.9795,21.054,17.636,16.9008,0.9647,1.5901999999999998,21.297,,,6.5038,35.3679,1.8296999999999999,,,13.4276,1.2949,24.8292,46.4938,12.7259,24.1683,383.7386,11.0071,,97.0258,29.9849,15.7785,5.875,28.4957,2.5656,1.9533,,,0.7179,21.4345,5.3205,0.9037,,6.982,2.49,,,14.0818,29.2857,32.9978,0.2991,3.0157,4.8634,16.9572,11.2096,,19.901699999999998,,25.1065,,41.0489,,9.6936,4.6528,6.8078,3.8865,,6.9021,34.8432,,10.5758,11.6945,,16.6895,59.1958,6.4908,4.4284,103.202,0.753,12.2513,11.9382,1.8227,1.2346,,4.1864,16.1546,43.0684,0.2236,4.574,14.3739,3.9711,10.733,13.2018,6.4762,16.9021,17.6893,,0.45,,,2.3775,,4.5215,2.7821,3.6568,3.031,5.055,,4.4914,,1.384,28.9867,,3.7156000000000002,3.2,,,4.7663,0.835,26.3984,4.7649,0.5568,14.8029,0.455,0.5702,,,1.1336,36.9059,0.185,6.9513,23.7337,,14.7002,63.6522,7.3083,8.4025,3.7735,,0.7513,6.3593,,,34.9041,,1.3556,6.4028,7.7587,33.3213,,9.95,0.2,,0.1921,17.5671,27.1889,5.2407,8.3335,11.849,,
2010-01-18 00:00:00,,29.8785,14.0861,2.5299,8.6608,1.5022,,5.1638,33.0168,41.8912,7.3338,40.5027,1.263,4.2145,8.9802,,36.2653,13.7659,33.4727,7.003,19.1165,15.8228,1.2507,,4.5335,20.9464,20.5033,11.9853,,,0.7118,22.683,5.5403,8.6705,27.6842,4.0587,17.6935,9.8415,6.5907,23.7664,46.2384,31.0429,3.8698,26.3116,13.1831,2.5008,4.2943999999999996,22.2775,,18.6047,20.2367,0.5983,39.0302,21.4674,14.5791,,37.7483,5.624,25.954,21.0178,18.011,17.1039,1.0249,1.6019,21.2368,,,6.5821,35.6381,1.8308,,,13.5227,1.3844,24.954,46.7506,12.7472,24.3073,386.4547,11.131,,98.9283,30.0181,16.0083,5.8076,28.5582,2.7439999999999998,1.9578,,,0.7069,21.581,5.324,0.9191,,6.8717,2.4592,,,14.2707,29.4338,33.0168,0.288,3.0362,4.8657,17.2291,11.315,,19.8259,,24.9802,,41.2126,,9.7825,5.1944,6.8083,3.8424,,6.825,35.0336,,10.5586,12.0145,,16.777,59.2176,6.6487,4.4396,104.3829,0.8626,12.4329,11.7727,2.0247,1.245,,4.1806,16.6218,42.6033,0.2232,4.6385,14.5209,3.9287,11.0045,13.1694,6.4403,16.6604,17.8208,,0.45,,,2.3731,,4.5979,2.7777,3.7895,3.0529,5.0033,,5.1789,,1.3862,29.6319,,3.7644,3.2,,,4.8227,0.835,26.345,5.0278,0.5971,14.7957,0.4561,0.5794,,,1.1037,36.8804,0.185,7.0127,23.7853,,15.0802,63.7477,7.3,8.5314,3.7584,,0.7949,6.9164,,,34.7755,,1.3538999999999999,6.4484,7.7036,33.2972,,10.0228,0.2,,0.2223,17.6262,27.1745,5.0603,8.1659,12.0297,,
2010-01-19 00:00:00,,29.6844,13.8745,2.4393000000000002,8.6519,1.4862,,5.1046,33.1353,40.9493,7.2013,40.6361,1.2688,4.229,8.9582,,37.4,13.7027,33.3919,6.9506,19.2232,15.3448,1.2856,,4.4777000000000005,21.318,20.2203,12.138,,,0.7257,22.6682,5.5165,8.7994,27.852,4.0045,17.7133,9.7154,6.578,23.7181,46.6202,31.6247,3.8552999999999997,26.3614,13.5581,2.467,4.3279,22.2015,,18.7557,20.2343,0.6409,39.3542,21.372,14.4084,,37.7101,5.7317,25.8375,21.342,17.8624,17.5252,1.068,1.6511,21.1831,,,6.5026,35.5226,1.8133,,,13.4926,1.4699,24.98,46.8833,12.7245,24.4593,379.8177,10.9064,,98.0701,30.1173,16.0414,5.88,28.8029,2.7223,1.9809,,,0.7153,21.5907,5.392,0.9161,,6.8345,2.6269,,,14.4805,29.0264,33.1353,0.2795,2.9600999999999997,4.8446,17.0388,11.3329,,19.7997,,25.047,,41.2594,,9.8127,6.7366,6.8082,3.7654,,7.0343,35.219,,10.7586,12.1208,,16.8791,58.8847,6.6067,4.5191,106.2589,0.8848,12.399000000000001,11.7625,2.0487,1.1947,,4.2224,17.8457,42.6412,0.2052,4.7635,14.6129,3.8902,11.0851,13.1414,6.3143,16.4135,17.9691,,0.45,,,2.3627000000000002,,4.5363,2.7204,3.8588,2.9257999999999997,5.0139,,5.0771,,1.4411,29.4601,,3.7779,3.1653000000000002,,,4.7482,0.835,26.4127,5.0007,0.6315,14.8882,0.4526,0.6166,,,1.1106,36.6267,0.1589,7.1248,23.6267,,15.0654,64.141,7.2504,8.4007,3.7375,,0.8637,6.842,,,35.2536,,1.3525,6.433,7.447,33.1572,,10.2228,0.2,,0.2205,17.5119,27.2331,5.1031,8.6312,12.013,,
2010-01-20 00:00:00,,28.9754,13.630700000000001,2.4764,8.297,1.4904,,4.864,32.9669,40.0031,7.0253,39.5765,1.2736,4.2036,8.9126,,37.0074,13.4142,34.0201,6.881,19.1265,14.8922,1.2523,,4.465,21.3533,20.0934,12.2273,,,0.7058,22.6003,5.3924,8.893,27.8437,3.8426,17.8348,9.5287,6.4588,23.5283,45.8172,31.6514,3.7824999999999998,26.4272,13.9533,2.2351,4.3,21.9155,,19.1974,20.3066,0.6807,39.3366,21.4038,13.9314,,37.5804,5.7427,25.3883,21.086,16.8138,17.6072,1.1,1.6678,20.9662,,,6.2113,35.1935,1.7848000000000002,,,13.4634,1.3725,25.1468,47.424,12.7384,24.3801,375.3741,10.955400000000001,,95.3468,30.1048,15.9926,5.8345,28.4767,2.5616,1.9365999999999999,,,0.7055,21.8943,5.3352,0.9056,,6.6769,2.5,,,13.9075,28.5909,32.9669,0.2778,2.9886,4.7872,16.2724,11.238,,19.3562,,24.9302,,40.8221,,9.8434,6.4706,6.736,3.5927,,6.8198,34.7724,,10.9673,11.7391,,16.5737,58.5592,6.4808,4.4569,107.1503,0.8686,12.2981,11.8493,2.0001,1.1992,,4.0659,17.7608,43.0204,0.21,4.7835,14.281,3.7901,11.1056,12.963,6.2528,16.1401,18.0276,,0.45,,,2.2147,,4.5129,2.6353999999999997,3.8421,2.8445,4.8981,,4.9658,,1.4183,28.9833,,3.766,3.1390000000000002,,,4.7859,0.835,26.0096,4.8366,0.6267,14.229,0.4502,0.5838,,,1.063,36.5769,0.19,6.8514,23.1021,,14.9439,63.8098,7.1297,8.2634,3.7022,,0.8603,6.5521,,,35.3646,,1.3035,6.3966,7.2814,32.7013,,10.2454,0.2,,0.2195,16.7654,27.2605,5.1641,8.3603,11.6068,,
